,a,e,i,j,k,l,m,n,o,p,s,t,t͡ɕ,u,w,ŋ,ɛ,ɯ,ʌ
abrupt,0.2751795743654172,0.22765066805813047,0.26729617839486436,0.25079333616627586,0.2623560262076995,0.2901265108222632,0.2728568944666121,0.3122776467749413,0.25313266726621125,0.2861441700039683,0.2730165347456932,0.26914690441141526,0.3148012891411781,0.26280026257723227,0.2510338135455784,0.27696014050808215,0.2613077753263971,0.29598533986684156,0.3143334245309234
active,0.12134391206006209,0.09699634048673841,0.11815370715755437,0.10594662630723582,0.11295598576688648,0.12776428510091806,0.11889631350835164,0.13424239878324754,0.11133345402777195,0.12729458551149112,0.11712190136313438,0.11627666643042056,0.13252076879143715,0.11352625116705894,0.10764742525000322,0.1185700978983093,0.10639064169178407,0.12602325677871704,0.13229965906412827
bad,0.029091102347053862,0.026430307577053707,0.031620826572179794,0.028279121592640878,0.02994228119496256,0.03309165968836009,0.02710668941338857,0.03467535882674415,0.029459163080900908,0.03083827383816242,0.029955887235701084,0.031128941553420032,0.036578266615314145,0.02924858915674336,0.027063607309873287,0.029873494897037743,0.0272165410220623,0.03333988402257947,0.037024701717827055
beautiful,0.11130907623252521,0.09428791163696183,0.11942228651008545,0.12259007493654887,0.11161522586321966,0.1250136753751172,0.11628995007938808,0.13166253551326948,0.11416262447834015,0.12289033532142639,0.11468031443655491,0.11297639389522374,0.131100815649216,0.11795054712834266,0.10835315982500712,0.1080562526295925,0.10377678678681453,0.12430505781638913,0.1340946688296947
big,0.1449995406553255,0.1184063064865768,0.14265183011150878,0.13396999364097914,0.1391076705320764,0.1586521776172064,0.14340930698173388,0.16388855750362077,0.13729058247473505,0.15478992685675622,0.14332427829504013,0.14152096125676675,0.15957247071406422,0.1383251115577678,0.14123907685279846,0.14974920807489708,0.1370169734582305,0.15637375357059333,0.16682861367268348
calming,0.08311434675540243,0.0898794595684324,0.09004918858408928,0.08284745862086614,0.0850478026923942,0.09302252501249314,0.08528892382195122,0.09676325760590725,0.07799788679750193,0.08841541196618762,0.09264572896063328,0.08475941215597448,0.09683397635817528,0.08551268928656072,0.0812675035313556,0.09032710281721616,0.08415250361643055,0.09934190347790718,0.1034229933151177
complex,0.03133873134230574,0.02747282137473424,0.032251433581756105,0.031486704324682556,0.03101914085266067,0.03377368451000597,0.031539260596036914,0.034709558564614745,0.030037813883085372,0.03141338408396051,0.03277104161679745,0.030403234324127924,0.039586310554295775,0.031207076422023503,0.0295917830969158,0.034203344905698624,0.03030290345971783,0.03526812485035728,0.03739327806535931
continuous,0.030185646551350753,0.026594869792461395,0.031164012849330902,0.030334055216776,0.029678509269347963,0.032822924935700076,0.030131199666195447,0.033942274828540515,0.029023951614054584,0.030756583286298288,0.03198220022022724,0.0305382763966918,0.03715447541326285,0.03030885060200061,0.02900345103913232,0.0325524963490251,0.029555926099419594,0.03416629053433152,0.03556832128670066
dangerous,0.253000327311028,0.2473812609910965,0.24629081237842054,0.22635007011038916,0.24012890188344593,0.2713066731393337,0.2377654675926481,0.28811239989267456,0.2304062497539398,0.2674640456312581,0.23473935822645822,0.25369342094337616,0.2743235886096954,0.23687666349235129,0.22909943635265032,0.24609469446268947,0.2274174228310585,0.27408004915991496,0.2905645684358921
delicate,0.0850776610570354,0.08020174834463331,0.08907131105661392,0.08629442472010851,0.08546914091987136,0.09303630958613637,0.08604628681426957,0.09806932641400232,0.08200207071607574,0.08727544556195671,0.09107191301882267,0.08615718378374974,0.10284856855869293,0.08423116940191422,0.08076158342392821,0.090626660533048,0.08596985011051099,0.09842131172235195,0.10141726286106166
disorganized,0.0573174104572752,0.052722442895174026,0.058827743816532586,0.056919256846110024,0.05661895928904414,0.06271468515635706,0.05757685317549595,0.06643110521613284,0.05516509594932451,0.060043253205917975,0.06055172719061375,0.05819454602897167,0.06925072222948074,0.05733321878043088,0.05543988982313558,0.061365282680425376,0.055214444641023874,0.0650421523130857,0.0700715050192141
exciting,0.2381222933029928,0.25264724024704527,0.25559444689169164,0.22682028429375756,0.2357430642493713,0.2657713683843613,0.23851623974348368,0.28050043070927644,0.22357722974958874,0.2569380072610719,0.24612577259540558,0.2385623043491727,0.26411986649036406,0.2372205751863393,0.22624111802954422,0.242708314273317,0.23001385107636452,0.2688461184501648,0.28255463859864643
fantastical,0.11866554784009585,0.11005618423223495,0.12273218143465263,0.11752731684181425,0.11831301791906947,0.12919212574473557,0.11687861975621093,0.13453478117783865,0.11516302312582226,0.1251167073040395,0.1241642776876688,0.11960847187237661,0.1459558717906475,0.1187466721643101,0.11427634601530276,0.12700973712914698,0.11629179709901412,0.13478375697398887,0.14182161779275962
fast,0.13924010334586776,0.11470781763394673,0.13360658148303628,0.13229817850515246,0.133793424479432,0.14970189927701363,0.1384314644981075,0.158050339032964,0.12711523943825773,0.14812853598389134,0.1410386636853218,0.13562027851537783,0.1577928337980719,0.135063097323291,0.1304267546848247,0.14047218078658694,0.12789738483049654,0.15149453099893065,0.1572961848643091
feminine,0.07926568712450956,0.05733559001237154,0.08834534152769126,0.08841387235692569,0.08251577998157096,0.09206576610312742,0.07462474771521309,0.09545991718769073,0.07887632901278827,0.08286975920200348,0.08687642713387807,0.08203791419509798,0.09334959089756012,0.08569770637485716,0.07914708790026213,0.08495959984483542,0.08183776127064929,0.09371988206273979,0.09934800352763247
free,0.030473143408695856,0.027094108156032033,0.031181175028905272,0.030607226201229625,0.03001440699978415,0.03374655012747431,0.02985709694524606,0.03414636604646419,0.029319601558279573,0.03294330377232384,0.03085614461451769,0.030971371351430813,0.03613088522106409,0.03090817942707376,0.02961189868418794,0.03255083565026114,0.029493816844795063,0.033828512000948635,0.03751095641581785
good,0.12160330603796023,0.09959010365936491,0.13092824979685247,0.11527148485183716,0.12120915241151427,0.13508817176897447,0.11517244776089987,0.14219785712916275,0.12458797304758004,0.13759326040744782,0.12145264260470867,0.1255706668157002,0.14484061460409844,0.1212052103570279,0.11082012779437579,0.11959808822721243,0.10847007657090822,0.1330644808271352,0.1451620661550098
happy,0.1270338150069994,0.051880933344364166,0.12306156577098937,0.12330035865306854,0.11645145593211055,0.12992620437729116,0.10669632256031036,0.13563157059252262,0.11484949207968181,0.1309194564819336,0.10727441310882568,0.11726548559963704,0.13079999685287474,0.13116023316979408,,0.12785265616634311,0.10511368471715185,0.13051922898739576,0.1445407946320141
hard,0.14197085576353374,0.11822477935089006,0.14640820130275992,0.12947170270813835,0.13650564162886328,0.15393840348878443,0.14165095798671246,0.1618176860941781,0.1360511808541783,0.14821598860057625,0.14311263337731361,0.13862806416542853,0.16450971944464576,0.1372494882968969,0.1326877600268314,0.1483443030347563,0.1327146973622882,0.15493227394692827,0.16333470529034025
harsh,0.2576765874904153,0.21944591237439048,0.2661419763879956,0.24564017521010506,0.25137826858671625,0.28001843049730124,0.2553408027372577,0.29861915890466084,0.24904276705101916,0.2658285635548669,0.2658228278160095,0.25272877289560336,0.2985153906047344,0.24911892080101475,0.24623914925675644,0.2705188432376679,0.25044328363045404,0.2866939728458722,0.2998157971235643
heavy,0.13206193034726005,0.10884700384404924,0.13225723589615276,0.12260488689773613,0.1267132049445839,0.14541572680075962,0.13102362360805273,0.1528371675786647,0.12528160601281202,0.13755702107183396,0.1343657150864601,0.12953592222183943,0.15191709332995945,0.1274309253367858,0.12893114282804377,0.14315143686859574,0.12569801565259694,0.1460650996083305,0.15415780848035446
inhibited,0.25984886050224304,0.22293823377953637,0.2801847938847329,0.2468843451804585,0.2537554740135012,0.2862079332466998,0.2582834982209735,0.32037505951333556,0.24989570232859828,0.2746490232042364,0.26354921609163284,0.25905619077384473,0.3037868648767471,0.2511366234922951,0.24477292832575345,0.2661496004829668,0.24571821417497552,0.2939709287081192,0.30108970687502906
interesting,0.15927665043845135,0.14067516196519136,0.17275295822935946,0.15913268132135272,0.15782782998867334,0.1783089076515532,0.16386032418200844,0.19578926659682216,0.15712937113383543,0.169449021711069,0.16552241891622543,0.16038929497202237,0.1870881743155993,0.1583136052445129,0.15303139506201996,0.16268368254578303,0.15485840355572494,0.18571444346410473,0.19528694152832032
light,0.033839834827955786,0.03094508560995261,0.03489546710625291,0.034409700996345945,0.033897594859202705,0.0377213288926416,0.0336234652902931,0.03912880834700032,0.03214860130817844,0.03582354713111154,0.03498638793826103,0.0351380778166155,0.03955752319759793,0.034110538279398896,0.03283495521720718,0.03557281841664282,0.032674001436680554,0.037801197330866544,0.04132745828097447
masculine,0.31278782744744893,0.1671738289296627,0.3245347486092494,0.32392073954854694,0.30208950941409685,0.34405406818670387,0.2996890219775113,0.35407044291496276,0.2951708329984775,0.32471235692501066,0.3094252447287242,0.30430000030901283,0.3472513622707791,0.31593995177083545,0.2993115014151523,0.3155844782789548,0.28972619859611287,0.3384610008862283,0.35324594847582
mellow,0.09055997257599153,0.08223577754365073,0.10176848381195429,0.0929497058192889,0.0947185048852304,0.10582280002142254,0.09054820391942155,0.10639342403208668,0.09602283418439982,0.08801467555600244,0.09922105260193348,0.09323084701238007,0.12258990854024887,0.09296720890306878,0.10711768779315446,0.126444133789572,0.10817977883245634,0.11266740400231245,0.13469758890120379
nonsolid,0.12565164731091094,0.11955946104394065,0.1325183145853938,0.12244270245234172,0.1263101779860664,0.13985819583172565,0.1251656100153923,0.14918633359364974,0.12569312513508696,0.13729366966906717,0.13586997985839844,0.12930892919332293,0.15077973074383205,0.12766472068290377,0.1223048967750449,0.13890599531845915,0.12283617427403276,0.1440188301494345,0.1517031679793102
ordinary,0.11801454755167166,0.09912824382384618,0.11885878136544897,0.10820692839721839,0.1145030095095874,0.13071584131929181,0.11756425764825609,0.13909644237224092,0.11902540350525544,0.12625856274688566,0.11773233860731125,0.11903132403605297,0.1359937947243452,0.11301695007238198,0.10957884396377363,0.12055627981553206,0.11307307177533706,0.12933131389539032,0.13964699226475896
passive,0.0952171221623818,0.0903756817181905,0.09815573306488139,0.08938408311870363,0.09436622606729393,0.10539756720199396,0.09337819301419788,0.11027623554493518,0.09158663245450173,0.1001104549378962,0.09670330956578255,0.09888671161454232,0.11145360097289085,0.09340487445958635,0.08801752564154174,0.09840771430046172,0.09156853177895148,0.10908654721883627,0.1125383772665546
pleasant,0.10663889276541093,0.0891879184378518,0.11124194912770961,0.10060640424489975,0.10571186970511492,0.11795099304859029,0.10520130209624767,0.12923903204500675,0.10546014009212906,0.12394362297796067,0.10736941732466221,0.1046267639061338,0.12549486244097352,0.11161608343559598,0.09686466131140203,0.10842658467590809,0.10163255848667839,0.12003530437747638,0.12986770736389472
realistic,0.22057235067257205,0.1901614632871416,0.22068558766373567,0.20689612130324045,0.2133858346076,0.24035174967959905,0.21907673539085823,0.2616565886471007,0.20919812003434715,0.2297216375937333,0.2229973003268242,0.2189982028403243,0.2505729205906391,0.21113948769528756,0.20643646073968788,0.22336561716086156,0.2119422840575377,0.2439305963104262,0.2579453518348081
relaxed,0.10477763349707755,0.10126157187753254,0.11182974754936165,0.10272188650237189,0.10569464208351241,0.1179826483617421,0.10503411186592919,0.12312762770387861,0.10321045823787388,0.11293548627479656,0.1148407980799675,0.10741323127100864,0.12396066337823868,0.10658281152559952,0.10191788289107774,0.11138420582634129,0.1051675052098606,0.1199658878926021,0.1259951846940177
round,0.037373214488058054,0.03453579689893457,0.03938301449472254,0.0383959584352043,0.038015977712348104,0.04269443522670016,0.03811800570749655,0.04373984512589548,0.03727325559076336,0.039015876481661924,0.04224633052945137,0.03863689636231446,0.04629039205610752,0.03836271563155014,0.03745643728796173,0.043443146906793115,0.038268653513944664,0.04578802714858091,0.0478997480434676
rugged,0.2870218617828576,0.23611310124397278,0.2896049458671499,0.270972179248929,0.27760528644342075,0.3098686530992582,0.28788684698797407,0.3320844213167826,0.2729745713765161,0.2953730112797505,0.292809896171093,0.2793716205904881,0.3292252153158188,0.2750831384254598,0.26975544110724803,0.2948725686685459,0.273368158377707,0.31996136124317465,0.32822324034003986
sad,0.033393944284933454,0.02171639601389567,0.03363728594212305,0.0318123996257782,0.033170833718031645,0.03549476348015727,0.027419288953145344,0.03814299218356609,0.03032776237361961,0.033049428214629493,0.02800169214606285,0.03566548731178045,0.03693132512271404,0.036510803393627465,,0.03634811729631003,0.030218528997566965,0.03797914308961481,0.04316981421673999
safe,0.03159194319755181,0.030591488629579545,0.032091802205233014,0.028918214674506868,0.03092884893753919,0.03541356112807989,0.02787332431901069,0.035965553329636656,0.028015322601183865,0.034348852736385244,0.030160992716749508,0.03414876300942253,0.035617425106465816,0.030439702366463473,0.02830955060198903,0.03133177432146939,0.028638827924927075,0.035657718820973884,0.03886773881125957
sharp,0.1342294741013687,0.11131290098031361,0.13621215854178775,0.12390507302350467,0.12888932413421572,0.14533858890614368,0.13241219684118177,0.15270333753331847,0.12867564704545117,0.14230392329596184,0.1355999130755663,0.13122298944069713,0.1570709389117029,0.13000506803739903,0.12302672819179647,0.13843962262783732,0.1243201516892599,0.14697007552692384,0.1544260573351667
simple,0.10574050405373175,0.0891453002889951,0.10573675322892337,0.09876582419706716,0.10215338259571936,0.11474743535598883,0.10514642381005818,0.12278742691937913,0.10101183958477893,0.11054849685043902,0.10877536050975323,0.10461165639953535,0.12260356321930885,0.10146654448048635,0.09992919979911101,0.10922899439528182,0.10249207494780421,0.11691809174440362,0.12371433898806572
slow,0.03807564838244035,0.03418735580311881,0.03787941499613225,0.03934590215794742,0.03847684417359577,0.04191150678027617,0.03884628400005199,0.04404017860751327,0.03435819978384595,0.04069111451249698,0.03955180197954178,0.03884918428957462,0.04539094142177526,0.038776949304156004,0.036896594358902225,0.04066245432292658,0.036260693672705784,0.04431041603793903,0.04640333869287537
small,0.03756603111136467,0.034177376655861735,0.03796802416605794,0.036643116217520505,0.037583339311059005,0.041730763217023875,0.03736602373066403,0.04367531535940038,0.03580655381083488,0.040881577568749584,0.03732680715620518,0.039900693835483655,0.04271319859168109,0.03728649285558152,0.03636272355086274,0.03888803328484742,0.03663201099261641,0.04270282910706905,0.045669055668942964
soft,0.042611210535352044,0.03935779175824589,0.04509897601719086,0.043772217714124255,0.04339241053064152,0.04741860918750036,0.04395355433225632,0.04914511740207672,0.04207323125579901,0.04372166419351423,0.046367375180125237,0.04361201623865103,0.05209598959320121,0.04281790775441846,0.04296635757935675,0.047498269797596214,0.043883410322925316,0.05064170649557403,0.053113806150144056
solid,0.12681252791339326,0.10916393622756004,0.13088661173776706,0.1134856842044327,0.12408775585601155,0.1451153332120055,0.1266475485637784,0.1497225719384658,0.13149298897924575,0.1396223981590832,0.13000627048313618,0.12562462106599645,0.14513377017445034,0.12681107807817849,0.11720247645127146,0.13273498033069903,0.11893956481733105,0.14036345551721752,0.14901834072136297
strong,0.13258496770014366,0.10706373097168075,0.13340626706901407,0.12112800321645206,0.1258550160355977,0.1451608274380366,0.12904447068770727,0.1476578584059756,0.1253691649892264,0.13572258353233338,0.134962048381567,0.1300146803565201,0.15064061395823955,0.12710800816759812,0.12569752296334818,0.14141884093751778,0.12684598611667752,0.14424296262172553,0.15322201947371164
structured,0.1122273292669372,0.09437969326972961,0.11209243068700298,0.10203442350029945,0.1067300819978118,0.12120076197083869,0.111104121388391,0.1291815031399118,0.10544421801627693,0.1168089877512004,0.11338094249367714,0.11073107489186232,0.1291869670152664,0.10737618509764699,0.10343118208019357,0.11313783325668839,0.10316797477814059,0.12332436809172997,0.12663229554891586
tense,0.3156047459019141,0.25609762718280155,0.3136905802206861,0.2778212908241484,0.2980776707632373,0.33039286606062473,0.303787805494808,0.35388251145680744,0.29442126513050315,0.3212796187884099,0.3170967400074005,0.3174359280616045,0.36641238033771517,0.29548333809626376,0.275379216200427,0.31558609294564754,0.283712270791116,0.33860906313604383,0.35150539928248953
ugly,0.09457988160041471,0.09229837813311154,0.10522227610150973,0.10166018704573314,0.10003206988965924,0.11143669991029634,0.10033963041173087,0.11915658080372317,0.09920590221881867,0.11181046068668365,0.09918857924640179,0.10347787787516911,0.12000338389323308,0.10675730355657063,0.09012222861250242,0.09406907805081072,0.09125482539335887,0.11136930872027467,0.12343309867255231
unique,0.031136240568011998,0.028084314945671294,0.03240522016820155,0.03214668772286839,0.03074498768147154,0.03384096293199447,0.03076829194194741,0.035300668051585236,0.030143591511095393,0.03193575813359505,0.03234143555164337,0.031193698542650607,0.03757911715656519,0.031172028531066397,0.029513818554972347,0.032701356034423854,0.02970158215612173,0.034427432014661676,0.03629998771828555
unpleasant,0.09353663607246497,0.09035870515637928,0.1033231721437992,0.08909916132688522,0.09780466284630072,0.10724590360656265,0.09583223611116409,0.11310680955648422,0.09689163145693866,0.10313627975327629,0.10365049540996552,0.09726844698582825,0.11812733765691519,0.10042926278852281,0.08899348535958458,0.10104470190902551,0.09416322816501964,0.112142414820415,0.11893964534411665
weak,0.03486589183410009,0.03225253812140889,0.037231477409867306,0.03582604229450226,0.03558357766092713,0.03954262693723043,0.034924627799126834,0.04119826314297128,0.03374117536953202,0.03646966937397208,0.03636344149708748,0.03665028723170523,0.042278205044567585,0.03515216874955005,0.03509512220166231,0.03785253804479096,0.03591520696257552,0.04160005576335467,0.04442656598985195
